battery_cost,pv_capacity,battery_capacity
300,100,70465.9258506447
300,300,70425.32307151874
300,500,70384.72029239278
300,1000,70328.07497468674
300,2000,70265.6497080556
300,5000,70142.69268349526
400,100,45829.4399066245
400,300,45829.4399066245
400,500,45829.4399066245
400,1000,45829.4399066245
400,2000,45754.76732800554
400,5000,45606.38785861946
500,100,23428.461869961007
500,300,23361.683769197178
500,500,23355.855393295336
500,1000,23251.72938709183
500,2000,23136.988581111716
500,5000,22874.67354088805
